row_id,trmrkt_player_id,season,Squad,Comp,valuation_date,latest_transfer_id_before_valuation,latest_transfer_date_before_valuation,latest_transfer_type_before_valuation,contract_until_date,contract_days_remaining,contract_years_remaining,contract_expiring_within_1y,contract_expiring_within_2y,contract_missing,days_since_last_transfer,last_transfer_market_value_eur,last_transfer_fee_eur,last_transfer_fee_text,last_transfer_was_loan,last_transfer_was_free,transfer_count_before_valuation,loan_count_before_valuation
787912_22/23_Paris_Saint-Germain_fr_Ligue_1_2533,787912,22/23,Paris Saint-Germain,fr Ligue 1,2023-06-30,4121818,2022-07-01,STANDARD,2024-06-30,366,1.0021,0,1,0,364,2000000,,-,0,0,4,0
855015_22/23_Toulouse_fr_Ligue_1_2534,855015,22/23,Toulouse,fr Ligue 1,2023-06-30,4001212,2022-07-01,STANDARD,2025-06-30,731,2.0014,0,0,0,364,50000,,-,0,0,3,0
346314_22/23_Chelsea_eng_Premier_League_2535,346314,22/23,Chelsea,eng Premier League,2023-06-30,3498551,2021-07-01,STANDARD,2028-06-30,1827,5.0021,0,0,0,729,3500000,,-,0,0,9,6
422281_22/23_Clermont_Foot_fr_Ligue_1_2536,422281,22/23,Clermont Foot,fr Ligue 1,2023-06-30,3437220,2022-06-30,RETURNED_FROM_PREVIOUS_LOAN,2026-06-30,1096,3.0007,0,0,0,365,1000000,,,1,0,11,4
215118_22/23_Aston_Villa_eng_Premier_League_2537,215118,22/23,Aston Villa,eng Premier League,2023-06-30,3716041,2022-01-27,STANDARD,2025-06-30,731,2.0014,0,0,0,519,12000000,,Free Transfer,0,1,8,4
49723_22/23_Eintracht_Frankfurt_de_Bundesliga_2538,49723,22/23,Eintracht Frankfurt,de Bundesliga,2023-06-30,1066650,2014-07-01,STANDARD,2026-06-30,1096,3.0007,0,0,0,3286,2500000,1000000,1.00,0,0,7,0
250779_22/23_Brest_fr_Ligue_1_2539,250779,22/23,Brest,fr Ligue 1,2023-06-30,1295026,2016-06-30,RETURNED_FROM_PREVIOUS_LOAN,2027-06-30,1461,4.0,0,0,0,2556,250000,,,1,0,4,2
118278_22/23_Troyes_fr_Ligue_1_2540,118278,22/23,Troyes,fr Ligue 1,2023-06-30,3525542,2021-08-29,STANDARD,2026-06-30,1096,3.0007,0,0,0,670,4000000,1000000,1.00,0,0,5,0
596122_22/23_Rayo_Vallecano_es_La_Liga_2541,596122,22/23,Rayo Vallecano,es La Liga,2023-06-30,4048987,2022-08-31,STANDARD,2030-06-30,2557,7.0007,0,0,0,303,800000,1800000,1.80,0,0,4,0
607223_22/23_Lyon_fr_Ligue_1_2542,607223,22/23,Lyon,fr Ligue 1,2023-06-30,2788975,2020-01-01,STANDARD,2026-06-30,1096,3.0007,0,0,0,1276,8000000,,-,0,0,4,0
341092_22/23_Juventus_it_Serie_A_2543,341092,22/23,Juventus,it Serie A,2023-06-30,3836709,2022-07-01,STANDARD,2025-06-30,731,2.0014,0,0,0,364,65000000,44600000,44.60,0,0,5,2
316125_22/23_Chelsea_eng_Premier_League_2544,316125,22/23,Chelsea,eng Premier League,2023-06-30,3030939,2020-08-26,STANDARD,2027-06-30,1461,4.0,0,0,0,1038,40000000,50200000,50.20,0,0,5,2
123261_22/23_Cremonese_it_Serie_A_2545,123261,22/23,Cremonese,it Serie A,2023-06-30,3929954,2022-07-08,STANDARD,2023-06-30,0,0.0,1,1,0,357,1800000,2000000,2.00,0,0,11,2
242273_22/23_Nantes_fr_Ligue_1_2546,242273,22/23,Nantes,fr Ligue 1,2023-06-30,2929316,2020-07-01,STANDARD,2026-06-30,1096,3.0007,0,0,0,1094,650000,,Free Transfer,0,1,9,6
624037_22/23_Montpellier_fr_Ligue_1_2547,624037,22/23,Montpellier,fr Ligue 1,2023-06-30,2664186,2019-09-25,STANDARD,2026-06-30,1096,3.0007,0,0,0,1374,,,-,0,0,2,0
