Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,season,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,match_status,candidate_transfermarkt_ids
Elba Rashani,xk KVX,MF,Clermont Foot,fr Ligue 1,29,1993,32,26,2162,24.0,3,3,6,3,0,0,3,0,0.12,0.12,0.25,0.12,0.25,22/23,35,13,37.1,1.46,0.54,0.09,0.23,0,34,30,4,57,18,27,,,0,unmatched_name,
Gio Reyna,us USA,MF,Dortmund,de Bundesliga,19,2002,22,4,625,6.9,7,2,9,6,1,1,2,0,1.01,0.29,1.3,0.86,1.15,22/23,25,12,48.0,3.6,1.73,0.24,0.5,0,8,17,1,17,2,8,,,0,unmatched_name,
Nico Ribaudo,es ESP,"MF,FW",Espanyol,es La Liga,21,2001,32,16,1248,13.9,1,2,3,1,0,0,4,0,0.07,0.14,0.22,0.07,0.22,22/23,32,11,34.4,2.31,0.79,0.03,0.09,0,24,33,3,45,6,11,,,0,unmatched_name,
Alexsandro Ribeiro,br BRA,DF,Lille,fr Ligue 1,22,1999,21,16,1612,17.9,3,0,3,3,0,0,4,0,0.17,0.0,0.17,0.17,0.17,22/23,17,7,41.2,0.95,0.39,0.18,0.43,0,18,20,2,5,25,18,,,0,unmatched_name,
Óscar Rodríguez Arnaiz,es ESP,MF,Celta Vigo,es La Liga,24,1998,33,19,1775,19.7,2,0,2,2,0,0,6,0,0.1,0.0,0.1,0.1,0.1,22/23,43,17,39.5,2.18,0.86,0.05,0.12,0,22,26,2,83,24,24,,,0,unmatched_name,
Alessio Romagnoli,it ITA,DF,Lazio,it Serie A,27,1995,34,33,2922,32.5,2,0,2,2,0,0,6,0,0.06,0.0,0.06,0.06,0.06,22/23,13,5,38.5,0.4,0.15,0.15,0.4,0,35,19,1,0,35,16,,,0,unmatched_name,
Rubén,es ESP,"MF,DF",Espanyol,es La Liga,21,2001,18,9,888,9.9,0,2,2,0,0,0,1,0,0.0,0.2,0.2,0.0,0.2,22/23,9,0,0.0,0.91,0.0,0.0,,0,18,7,0,48,17,16,,,0,unmatched_name,
Fabián Ruiz Peña,es ESP,MF,Paris Saint-Germain,fr Ligue 1,26,1996,27,21,1892,21.0,3,2,5,3,0,0,0,0,0.14,0.1,0.24,0.14,0.24,22/23,26,9,34.6,1.24,0.43,0.12,0.33,0,19,13,4,12,18,31,,,0,unmatched_name,
Lazar Samardzic,rs SRB,"MF,FW",Udinese,it Serie A,20,2002,37,19,1848,20.5,5,4,9,5,0,0,1,0,0.24,0.19,0.44,0.24,0.44,22/23,50,18,36.0,2.44,0.88,0.1,0.28,0,26,13,0,92,10,16,,,0,unmatched_name,
Mama Samba Baldé,gw GNB,"FW,MF",Troyes,fr Ligue 1,26,1995,34,30,2665,29.6,12,3,15,10,2,2,6,2,0.41,0.1,0.51,0.34,0.44,22/23,75,27,36.0,2.53,0.91,0.13,0.37,1,40,46,22,14,10,23,,,0,unmatched_name,
Danilo Santos,br BRA,MF,Nottingham Forest,eng Premier League,21,2001,13,12,976,10.8,3,2,5,3,0,0,1,0,0.28,0.18,0.46,0.28,0.46,22/23,15,4,26.7,1.38,0.37,0.2,0.75,0,4,3,2,3,10,6,,,0,unmatched_name,
Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,25,1997,35,32,2896,32.2,1,9,10,1,0,0,3,0,0.03,0.28,0.31,0.03,0.31,22/23,10,6,60.0,0.31,0.19,0.1,0.17,0,15,25,1,173,25,53,,,1,unmatched_name,
Leo Skiri Østigård,no NOR,DF,Napoli,it Serie A,22,1999,7,4,419,4.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,22/23,3,0,0.0,0.64,0.0,0.0,,0,2,4,0,0,6,1,,,0,unmatched_name,
Vinicius Souza,br BRA,MF,Espanyol,es La Liga,23,1999,34,27,2428,27.0,1,1,2,1,0,0,10,1,0.04,0.04,0.07,0.04,0.07,22/23,10,4,40.0,0.37,0.15,0.1,0.25,1,65,38,0,4,49,66,,,0,unmatched_name,
Çağlar Söyüncü,tr TUR,DF,Leicester City,eng Premier League,26,1996,7,6,529,5.9,1,0,1,1,0,0,2,0,0.17,0.0,0.17,0.17,0.17,22/23,5,2,40.0,0.85,0.34,0.2,0.5,0,7,4,0,0,7,9,,,0,unmatched_name,
Kostas Stafylidis,gr GRE,"DF,MF",Bochum,de Bundesliga,28,1993,19,11,1043,11.6,0,2,2,0,0,0,4,0,0.0,0.17,0.17,0.0,0.17,22/23,14,2,14.3,1.21,0.17,0.0,0.0,0,16,16,0,26,20,16,,,0,unmatched_name,
Aleksa Terzić,rs SRB,DF,Fiorentina,it Serie A,22,1999,22,8,935,10.4,1,1,2,1,0,0,2,0,0.1,0.1,0.19,0.1,0.19,22/23,9,2,22.2,0.87,0.19,0.11,0.5,0,4,12,3,78,6,9,,,0,unmatched_name,
Souleymane Touré,fr FRA,DF,Marseille,fr Ligue 1,19,2003,5,0,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,22/23,0,0,,0.0,0.0,,,0,2,0,0,0,0,1,,,0,unmatched_name,
Souleymane Touré,fr FRA,DF,Auxerre,fr Ligue 1,19,2003,19,18,1588,17.6,1,0,1,1,0,0,5,1,0.06,0.0,0.06,0.06,0.06,22/23,8,2,25.0,0.45,0.11,0.13,0.5,1,20,13,0,1,23,15,,,0,unmatched_name,
Kostas Tsimikas,gr GRE,DF,Liverpool,eng Premier League,26,1996,20,9,771,8.6,0,4,4,0,0,0,3,0,0.0,0.47,0.47,0.0,0.47,22/23,7,2,28.6,0.82,0.23,0.0,0.0,0,13,9,0,87,11,9,,,0,unmatched_name,
Viktor Tsyhankov,ua UKR,MF,Girona,es La Liga,24,1997,19,17,1489,16.5,3,6,9,3,0,0,0,0,0.18,0.36,0.54,0.18,0.54,22/23,19,9,47.4,1.15,0.54,0.16,0.33,0,8,21,2,55,7,8,,,0,unmatched_name,
Unai Vencedor Paris,es ESP,MF,Athletic Club,es La Liga,21,2000,10,0,193,2.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,22/23,3,2,66.7,1.4,0.93,0.0,0.0,0,12,2,0,2,1,1,,,0,unmatched_name,
Walace,br BRA,MF,Udinese,it Serie A,27,1995,37,37,3190,35.4,0,1,1,0,0,0,6,0,0.0,0.03,0.03,0.0,0.03,22/23,32,6,18.8,0.9,0.17,0.0,0.0,0,40,39,0,21,49,41,,,0,unmatched_name,
Jeong Woo-yeong,kr KOR,"MF,FW",Freiburg,de Bundesliga,22,1999,26,4,653,7.3,1,1,2,1,0,0,2,0,0.14,0.14,0.28,0.14,0.28,22/23,13,4,30.8,1.79,0.55,0.08,0.25,0,12,7,1,9,1,3,,,0,unmatched_name,
Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,it Serie A,26,1995,36,36,3050,33.9,3,5,8,3,0,0,3,0,0.09,0.15,0.24,0.09,0.24,22/23,50,15,30.0,1.48,0.44,0.06,0.2,0,44,47,2,24,49,31,,,0,unmatched_name,
