Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,season,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,match_status,candidate_transfermarkt_ids
Raphinha,br BRA,"FW,MF",Barcelona,es La Liga,26,1996,28,17,1368,15.2,6,9,15,5,1,1,4,1,0.39,0.59,0.99,0.33,0.92,23/24,59,22,37.3,3.88,1.45,0.08,0.23,0,17,25,7,81,13,8,,,0,ambiguous_name,411295;796604
Jack Robinson,eng ENG,DF,Sheffield United,eng Premier League,29,1993,34,31,2885,32.1,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,23/24,14,6,42.9,0.44,0.19,0.07,0.17,0,19,16,1,12,29,30,,,2,ambiguous_name,128909;533474
Rodri,es ESP,MF,Real Betis,es La Liga,23,2000,29,9,1051,11.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,18,5,27.8,1.54,0.43,0.0,0.0,0,6,29,4,36,8,11,,,0,ambiguous_name,8163;70912;357565;380952;858250
Rodri,es ESP,"MF,DF",Manchester City,eng Premier League,27,1996,34,34,2931,32.6,8,9,17,8,0,0,8,1,0.25,0.28,0.52,0.25,0.52,23/24,62,22,35.5,1.9,0.68,0.13,0.36,0,41,35,6,12,25,43,,,0,ambiguous_name,8163;70912;357565;380952;858250
Dani Rodríguez,es ESP,MF,Mallorca,es La Liga,35,1988,36,31,2615,29.1,2,4,6,2,0,0,9,0,0.07,0.14,0.21,0.07,0.21,23/24,27,4,14.8,0.93,0.14,0.07,0.5,0,61,43,7,166,14,26,,,0,ambiguous_name,139435;834470
Miguel Rodríguez,es ESP,MF,Celta Vigo,es La Liga,20,2003,15,2,300,3.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,23/24,6,0,0.0,1.8,0.0,0.0,,0,16,11,0,11,4,3,,,0,ambiguous_name,634427;1087262
Ricardo Rodríguez,ch SUI,"DF,MF",Torino,it Serie A,30,1992,35,34,2772,30.8,1,2,3,1,0,0,4,0,0.03,0.06,0.1,0.03,0.1,23/24,11,2,18.2,0.36,0.06,0.09,0.5,0,25,9,1,56,26,27,,,0,ambiguous_name,86784;820227
Rogério,br BRA,"DF,MF",Wolfsburg,de Bundesliga,25,1998,13,10,906,10.1,1,0,1,1,0,0,0,0,0.1,0.0,0.1,0.1,0.1,23/24,4,2,50.0,0.4,0.2,0.25,0.5,0,7,12,0,27,3,8,,,0,ambiguous_name,13197;160866;175256;357788;401527
Ruan,br BRA,DF,Sassuolo,it Serie A,24,1999,26,16,1516,16.8,0,0,0,0,0,0,7,1,0.0,0.0,0.0,0.0,0.0,23/24,7,2,28.6,0.42,0.12,0.0,0.0,1,23,12,0,2,23,14,,,0,ambiguous_name,162937;520491;555015;1053933
Antonio Sánchez,es ESP,MF,Mallorca,es La Liga,26,1997,29,21,1452,16.1,3,1,4,3,0,0,3,0,0.19,0.06,0.25,0.19,0.25,23/24,23,9,39.1,1.43,0.56,0.13,0.33,0,26,13,1,34,12,12,,,0,ambiguous_name,513031;833271;881217
Manu Sánchez,es ESP,"DF,MF",Celta Vigo,es La Liga,22,2000,26,20,1775,19.7,0,5,5,0,0,0,3,0,0.0,0.25,0.25,0.0,0.25,23/24,9,2,22.2,0.46,0.1,0.0,0.0,0,21,5,0,57,19,32,,,0,ambiguous_name,7785;374142;618809
Alex Sandro,br BRA,DF,Juventus,it Serie A,32,1991,16,8,721,8.0,1,0,1,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,23/24,5,1,20.0,0.62,0.12,0.2,1.0,0,18,12,0,5,18,8,,,0,ambiguous_name,79960;552892
Ibrahim Sangaré,ci CIV,MF,Nottingham Forest,eng Premier League,25,1997,17,13,1035,11.5,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,23/24,8,0,0.0,0.7,0.0,0.0,,0,22,9,2,2,14,22,,,0,ambiguous_name,160871;375885
Tiago Santos,pt POR,DF,Lille,fr Ligue 1,21,2002,29,26,2365,26.3,1,2,3,1,0,0,6,0,0.04,0.08,0.11,0.04,0.11,23/24,33,7,21.2,1.26,0.27,0.03,0.14,0,38,87,0,83,14,40,,,0,ambiguous_name,79188;153697;346922;385648;405769
Stefan Savić,me MNE,DF,Atlético Madrid,es La Liga,32,1991,23,19,1630,18.1,0,0,0,0,0,0,7,1,0.0,0.0,0.0,0.0,0.0,23/24,5,1,20.0,0.28,0.06,0.0,0.0,1,16,6,1,4,25,18,,,0,ambiguous_name,107010;120192
Sávio,br BRA,"MF,FW",Girona,es La Liga,19,2004,37,35,2976,33.1,9,10,19,9,0,0,5,0,0.27,0.3,0.57,0.27,0.57,23/24,45,20,44.4,1.36,0.6,0.2,0.45,0,30,66,16,122,20,26,,,0,ambiguous_name,7976;554996;607093
André Silva,pt POR,FW,Real Sociedad,es La Liga,27,1995,19,9,729,8.1,3,0,3,2,1,1,1,0,0.37,0.0,0.37,0.25,0.25,23/24,16,6,37.5,1.98,0.74,0.13,0.33,0,14,8,5,0,1,2,,,0,ambiguous_name,198008;565232;650165
Thiago Silva,br BRA,DF,Chelsea,eng Premier League,38,1984,31,28,2527,28.1,3,1,4,3,0,0,4,0,0.11,0.04,0.14,0.11,0.14,23/24,14,4,28.6,0.5,0.14,0.21,0.75,0,10,7,1,4,25,15,,,0,ambiguous_name,29241;68293;294817
Adam Smith,eng ENG,DF,Bournemouth,eng Premier League,32,1991,28,25,2150,23.9,0,2,2,0,0,0,6,0,0.0,0.08,0.08,0.0,0.08,23/24,2,0,0.0,0.08,0.0,0.0,,0,30,22,1,39,21,23,,,0,ambiguous_name,61841;163532
Mamadou Sylla,sn SEN,FW,Alavés,es La Liga,29,1994,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,0,0,,0.0,0.0,,,0,1,2,0,0,0,0,,,0,ambiguous_name,166683;654177;776892
