row_id,trmrkt_player_id,season,Squad,Comp,valuation_date,market_value_eur,market_value_date,market_value_days_from_valuation,log_market_value_eur,market_value_in_window,market_value_stale,market_value_missing
89701_21/22_Leverkusen_de_Bundesliga_88,89701,21/22,Leverkusen,de Bundesliga,2022-06-30,3500000,2022-06-08,22,15.06827381,1,0,0
64134_21/22_Celta_Vigo_es_La_Liga_89,64134,21/22,Celta Vigo,es La Liga,2022-06-30,4000000,2022-06-02,28,15.20180517,1,0,0
480267_21/22_Barcelona_es_La_Liga_90,480267,21/22,Barcelona,es La Liga,2022-06-30,50000000,2022-06-02,28,17.72753358,1,0,0
533662_21/22_Aston_Villa_eng_Premier_League_91,533662,21/22,Aston Villa,eng Premier League,2022-06-30,6000000,2022-05-12,49,15.60727019,0,0,0
488626_21/22_Osasuna_es_La_Liga_92,488626,21/22,Osasuna,es La Liga,2022-06-30,800000,2022-06-02,28,13.59236826,1,0,0
611426_21/22_Granada_es_La_Liga_93,611426,21/22,Granada,es La Liga,2022-06-30,6000000,2022-06-02,28,15.60727019,1,0,0
120443_21/22_Granada_es_La_Liga_94,120443,21/22,Granada,es La Liga,2022-06-30,4000000,2022-06-02,28,15.20180517,1,0,0
250426_21/22_Southampton_eng_Premier_League_95,250426,21/22,Southampton,eng Premier League,2022-06-30,15000000,2022-06-14,16,16.52356083,1,0,0
130765_21/22_Southampton_eng_Premier_League_96,130765,21/22,Southampton,eng Premier League,2022-06-30,6000000,2022-06-14,16,15.60727019,1,0,0
41384_21/22_Bologna_it_Serie_A_97,41384,21/22,Bologna,it Serie A,2022-06-30,6000000,2022-06-06,24,15.60727019,1,0,0
117674_21/22_Wolfsburg_de_Bundesliga_98,117674,21/22,Wolfsburg,de Bundesliga,2022-06-30,17000000,2022-06-08,22,16.64872396,1,0,0
53536_21/22_Udinese_it_Serie_A_99,53536,21/22,Udinese,it Serie A,2022-06-30,2300000,2022-06-06,24,14.64842012,1,0,0
245744_21/22_Bochum_de_Bundesliga_100,245744,21/22,Bochum,de Bundesliga,2022-06-30,3000000,2022-06-08,22,14.91412318,1,0,0
423436_21/22_Hertha_BSC_de_Bundesliga_101,423436,21/22,Hertha BSC,de Bundesliga,2022-06-30,6500000,2022-06-08,22,15.68731289,1,0,0
296622_21/22_Real_Madrid_es_La_Liga_102,296622,21/22,Real Madrid,es La Liga,2022-06-30,40000000,2022-06-02,28,17.50439004,1,0,0
574495_21/22_Sampdoria_it_Serie_A_103,574495,21/22,Sampdoria,it Serie A,2022-06-30,1800000,2022-06-06,24,14.40329778,1,0,0
543771_21/22_Empoli_it_Serie_A_104,543771,21/22,Empoli,it Serie A,2022-06-30,10000000,2022-06-06,24,16.11809575,1,0,0
72047_21/22_Celta_Vigo_es_La_Liga_105,72047,21/22,Celta Vigo,es La Liga,2022-06-30,7000000,2022-06-02,28,15.76142085,1,0,0
711969_21/22_Rennes_fr_Ligue_1_106,711969,21/22,Rennes,fr Ligue 1,2022-06-30,3000000,2022-05-29,32,14.91412318,1,0,0
392131_21/22_Greuther_Fürth_de_Bundesliga_107,392131,21/22,Greuther Fürth,de Bundesliga,2022-06-30,900000,2022-06-08,22,13.71015115,1,0,0
416108_21/22_Nice_fr_Ligue_1_108,416108,21/22,Nice,fr Ligue 1,2022-06-30,15000000,2022-05-29,32,16.52356083,1,0,0
58864_21/22_Arsenal_eng_Premier_League_109,58864,21/22,Arsenal,eng Premier League,2022-06-30,15000000,2022-06-02,28,16.52356083,1,0,0
58864_21/22_Barcelona_es_La_Liga_110,58864,21/22,Barcelona,es La Liga,2022-06-30,15000000,2022-06-02,28,16.52356083,1,0,0
284595_21/22_Sampdoria_it_Serie_A_111,284595,21/22,Sampdoria,it Serie A,2022-06-30,3500000,2022-06-06,24,15.06827381,1,0,0
170646_21/22_Sevilla_es_La_Liga_112,170646,21/22,Sevilla,es La Liga,2022-06-30,5000000,2022-06-02,28,15.42494867,1,0,0
127032_21/22_Villarreal_es_La_Liga_113,127032,21/22,Villarreal,es La Liga,2022-06-30,10000000,2022-06-02,28,16.11809575,1,0,0
295313_21/22_Union_Berlin_de_Bundesliga_114,295313,21/22,Union Berlin,de Bundesliga,2022-06-30,20000000,2022-06-08,22,16.81124288,1,0,0
108354_21/22_Crystal_Palace_eng_Premier_League_115,108354,21/22,Crystal Palace,eng Premier League,2022-06-30,6000000,2022-06-14,16,15.60727019,1,0,0
119031_21/22_Sassuolo_it_Serie_A_116,119031,21/22,Sassuolo,it Serie A,2022-06-30,5000000,2022-06-06,24,15.42494867,1,0,0
67420_21/22_Leeds_United_eng_Premier_League_117,67420,21/22,Leeds United,eng Premier League,2022-06-30,4000000,2022-06-14,16,15.20180517,1,0,0
275361_21/22_Troyes_fr_Ligue_1_118,275361,21/22,Troyes,fr Ligue 1,2022-06-30,400000,2022-05-29,32,12.89922233,1,0,0
180337_21/22_Leverkusen_de_Bundesliga_119,180337,21/22,Leverkusen,de Bundesliga,2022-06-30,22000000,2022-06-08,22,16.90655306,1,0,0
57500_21/22_Chelsea_eng_Premier_League_120,57500,21/22,Chelsea,eng Premier League,2022-06-30,9000000,2022-06-14,16,16.01273525,1,0,0
442805_21/22_Mallorca_es_La_Liga_121,442805,21/22,Mallorca,es La Liga,2022-06-30,3500000,2022-06-02,28,15.06827381,1,0,0
119235_21/22_Granada_es_La_Liga_122,119235,21/22,Granada,es La Liga,2022-06-30,1000000,2022-06-02,28,13.81551156,1,0,0
730581_21/22_Rennes_fr_Ligue_1_123,730581,21/22,Rennes,fr Ligue 1,2022-06-30,12000000,2022-05-29,32,16.30041729,1,0,0
40633_21/22_Genoa_it_Serie_A_124,40633,21/22,Genoa,it Serie A,2022-06-30,1000000,2022-06-06,24,13.81551156,1,0,0
463603_21/22_Monaco_fr_Ligue_1_125,463603,21/22,Monaco,fr Ligue 1,2022-06-30,30000000,2022-05-29,32,17.21670797,1,0,0
170953_21/22_Angers_fr_Ligue_1_126,170953,21/22,Angers,fr Ligue 1,2022-06-30,4000000,2022-05-29,32,15.20180517,1,0,0
387626_21/22_Aston_Villa_eng_Premier_League_127,387626,21/22,Aston Villa,eng Premier League,2022-06-30,25000000,2022-06-14,16,17.03438642,1,0,0
286384_21/22_Manchester_Utd_eng_Premier_League_128,286384,21/22,Manchester Utd,eng Premier League,2022-06-30,6000000,2022-06-14,16,15.60727019,1,0,0
184575_21/22_Brest_fr_Ligue_1_129,184575,21/22,Brest,fr Ligue 1,2022-06-30,1000000,2022-05-29,32,13.81551156,1,0,0
390177_21/22_Empoli_it_Serie_A_130,390177,21/22,Empoli,it Serie A,2022-06-30,10000000,2022-06-06,24,16.11809575,1,0,0
127048_21/22_Marseille_fr_Ligue_1_131,127048,21/22,Marseille,fr Ligue 1,2022-06-30,8000000,2022-05-29,32,15.89495222,1,0,0
855615_21/22_Saint-Étienne_fr_Ligue_1_132,855615,21/22,Saint-Étienne,fr Ligue 1,2022-06-30,300000,2022-05-29,32,12.61154109,1,0,0
182618_21/22_Milan_it_Serie_A_133,182618,21/22,Milan,it Serie A,2022-06-30,10000000,2022-06-06,24,16.11809575,1,0,0
361065_21/22_Leverkusen_de_Bundesliga_134,361065,21/22,Leverkusen,de Bundesliga,2022-06-30,14000000,2022-06-08,22,16.45456796,1,0,0
327251_21/22_Wolfsburg_de_Bundesliga_135,327251,21/22,Wolfsburg,de Bundesliga,2022-06-30,20000000,2022-06-08,22,16.81124288,1,0,0
540664_21/22_Bordeaux_fr_Ligue_1_136,540664,21/22,Bordeaux,fr Ligue 1,2022-06-30,400000,2022-05-29,32,12.89922233,1,0,0
641537_21/22_Empoli_it_Serie_A_137,641537,21/22,Empoli,it Serie A,2022-06-30,800000,2022-06-06,24,13.59236826,1,0,0
636688_21/22_Barcelona_es_La_Liga_138,636688,21/22,Barcelona,es La Liga,2022-06-30,4000000,2022-06-28,2,15.20180517,1,0,0
238752_21/22_Cagliari_it_Serie_A_139,238752,21/22,Cagliari,it Serie A,2022-06-30,3000000,2022-06-06,24,14.91412318,1,0,0
85258_21/22_Athletic_Club_es_La_Liga_140,85258,21/22,Athletic Club,es La Liga,2022-06-30,1200000,2022-06-02,28,13.99783295,1,0,0
575998_21/22_Marseille_fr_Ligue_1_141,575998,21/22,Marseille,fr Ligue 1,2022-06-30,10000000,2022-05-29,32,16.11809575,1,0,0
85295_21/22_Rayo_Vallecano_es_La_Liga_142,85295,21/22,Rayo Vallecano,es La Liga,2022-06-30,2000000,2022-06-02,28,14.50865824,1,0,0
296422_21/22_Milan_it_Serie_A_143,296422,21/22,Milan,it Serie A,2022-06-30,3500000,2022-06-06,24,15.06827381,1,0,0
503770_21/22_Arsenal_eng_Premier_League_144,503770,21/22,Arsenal,eng Premier League,2022-06-30,4000000,2022-05-12,49,15.20180517,0,0,0
62351_21/22_Angers_fr_Ligue_1_145,62351,21/22,Angers,fr Ligue 1,2022-06-30,500000,2022-05-29,32,13.12236538,1,0,0
292818_21/22_Lille_fr_Ligue_1_146,292818,21/22,Lille,fr Ligue 1,2022-06-30,17000000,2022-05-29,32,16.64872396,1,0,0
183334_21/22_Leeds_United_eng_Premier_League_147,183334,21/22,Leeds United,eng Premier League,2022-06-30,16000000,2022-06-14,16,16.58809934,1,0,0
240934_21/22_Empoli_it_Serie_A_148,240934,21/22,Empoli,it Serie A,2022-06-30,3000000,2022-06-06,24,14.91412318,1,0,0
176139_21/22_Genoa_it_Serie_A_149,176139,21/22,Genoa,it Serie A,2022-06-30,1800000,2022-06-06,24,14.40329778,1,0,0
533916_21/22_Brentford_eng_Premier_League_150,533916,21/22,Brentford,eng Premier League,2022-06-30,3000000,2022-06-14,16,14.91412318,1,0,0
